"ID_1"	"X_coord"	"Y_coord"	"Id"	"pH"	"P"	"K"	"Mg"	"Horiz_alt"	"Otief"	"Utief"	"Gskel_koernung"	"Gs_koernung"	"Ms_koernung"	"Fs_koernung"	"Gu_koernung"	"Mu_koernung"	"Fu_koernung"	"T_koernung"	"Bodenart_ka4_koernung"	"Ph 0.1 n cacl2"
0	4428062	5749930	110	6.30	25.40	16.00	7.30	Ap	0	3	1.10	1.40	5.80	27.60	39.50	11.00	2.90	11.80	Uls	7.33
1	4427932	5749890	111	7.00	88.00	23.00	7.40	Ap	0	3	3.40	3.20	14.70	6.90	42.10	10.60	5.90	16.60	Uls	7.26
2	4428028	5749724	112	6.10	11.70	22.00	8.20	Ap	0	3	1.50	2.10	6.50	3.90	47.10	13.70	6.20	20.50	Ut4	5.87
3	4428092	5749577	113	6.60	7.80	18.00	7.80	Ap	0	3	0.04	0.80	1.10	1.70	53.30	13.70	6.50	22.90	Ut4	6.79
4	4428089	5749360	114	6.00	4.60	16.00	7.60	Ap	0	3	0.20	0.60	1.10	1.70	52.30	16.10	7.60	20.60	Ut4	5.77
5	4428105	5749189	115	5.50	4.40	19.00	6.90	Ap	0	3	0.40	0.80	1.50	2.80	52.80	15.20	6.60	20.30	Ut4	6.30
6	4428122	5749044	116	5.50	6.40	15.00	6.00	Ap	0	3	1.40	2.00	2.90	3.70	51.50	14.80	6.60	18.50	Ut4	6.46
7	4428129	5748889	117	5.20	5.50	13.00	5.90	Ap	0	3	1.30	2.20	2.90	3.90	52.40	14.50	7.20	16.90	Ut3	5.79
8	4428086	5748785	118	5.20	12.60	17.00	5.80	Ap	0	3	26.20	8.30	8.70	8.90	43.90	10.00	6.20	14.00	Uls	5.21
9	4427954	5748947	119	5.30	9.50	17.00	6.70	Ap	0	3	24.70	8.90	9.70	9.30	42.90	12.00	5.60	11.60	Uls	7.25
10	4427887	5749114	120	6.50	18.90	22.00	7.00	Ap	0	3	10.50	8.40	8.00	8.70	40.30	11.50	6.10	17.00	Lu	6.27
11	4427836	5749319	121	6.10	7.20	28.00	9.10	Ap	0	3	1.20	2.60	2.50	6.40	48.00	15.20	4.50	20.80	Ut4	6.81
12	4427950	5749243	122	5.50	7.10	21.00	7.00	Ap	0	3	33.90	7.30	8.80	7.30	44.30	12.50	4.30	15.50	Uls	5.86
13	4427929	5749496	123	6.00	5.10	19.00	7.60	Ap	0	3	0.20	0.70	1.50	2.60	52.00	15.70	5.80	21.70	Ut4	6.04
14	4427807	5749625	124	6.40	7.90	22.00	9.50	Ap	0	3	0.60	1.10	2.20	4.30	50.60	13.70	6.00	22.10	Ut4	6.29
15	4427786	5749495	125	6.30	9.50	34.00	7.60	Ap	0	3	1.00	2.20	2.60	4.50	51.50	13.40	6.00	19.80	Ut4	5.88
16	4427579	5749612	126	6.90	21.10	25.00	5.10	Ap	0	3	8.70	2.40	3.00	7.30	44.60	12.50	7.60	22.60	Lu	7.05
17	4427668	5749765	127	6.70	17.00	24.00	6.60	Ap	0	3	12.70	5.70	7.30	7.70	42.90	10.30	4.00	22.10	Lu	7.10
18	4427780	5749847	128	6.20	31.30	31.00	9.70	Ap	0	3	0.50	1.30	3.20	5.70	47.80	11.70	6.40	23.90	Ut4	5.49
19	4427563	5749885	129	7.10	23.60	29.00	5.90	Ap	0	3	3.30	2.90	3.80	5.00	47.60	11.60	5.10	24.00	Lu	7.36
20	4427461	5749819	130	7.00	24.30	32.00	7.30	Ap	0	3	0.90	3.20	3.10	13.30	42.50	16.20	5.00	16.70	Uls	7.02
21	4427347	5749787	131	6.80	20.10	27.00	6.80	Ap	0	3	1.70	10.20	5.50	31.90	27.80	7.50	4.20	12.90	Sl4	6.91
22	4427303	5749690	132	7.20	25.00	21.00	3.00	Ap	0	3	2.60	28.80	7.50	23.10	19.10	5.80	3.80	11.90	Sl3	7.29
23	4427560	5749481	133	7.00	20.50	18.00	4.10	Ap	0	3	6.60	21.20	6.90	40.20	14.80	2.90	3.10	10.90	Sl3	6.78
24	4427704	5749249	134	6.70	11.10	20.00	7.00	Ap	0	3	32.80	22.10	12.20	16.80	23.30	8.70	6.90	10.00	Sl3	6.35
25	4427785	5749011	135	7.10	7.60	17.00	8.10	Ap	0	3	3.20	0.30	0.70	4.60	57.40	14.80	6.60	15.60	Ut3	7.49
26	4427618	5749083	136	6.20	5.90	22.00	8.70	Ap	0	3	0.60	0.80	1.70	6.80	51.50	15.90	7.20	16.10	Ut3	6.22
27	4427660	5748900	137	6.50	6.10	19.00	10.40	Ap	0	3	0.30	0.50	0.80	5.20	52.50	14.60	7.50	18.90	Ut4	6.80
28	4427849	5748858	138	7.20	8.50	16.00	7.50	Ap	0	3	0.20	0.40	1.00	6.70	46.10	17.50	8.60	19.70	Ut4	7.40
29	4427440	5748925	139	5.70	3.40	16.00	8.80	Ap	0	3	0.20	0.30	0.80	5.10	48.10	17.60	6.10	22.00	Ut4	5.16
30	4427476	5749111	140	6.10	3.60	14.00	8.20	Ap	0	3	0.20	0.50	0.80	4.70	53.10	13.00	6.60	21.30	Ut4	6.56
31	4427512	5749330	141	6.60	7.00	20.00	7.90	Ap	0	3	0.40	0.40	0.70	4.30	58.70	15.10	4.20	16.60	Ut3	7.46
32	4427357	5749507	142	7.00	11.40	18.00	5.60	Ap	0	3	0.30	1.40	1.90	11.00	47.10	15.00	4.90	18.70	Ut4	7.19
33	4427194	5749687	143	7.30	16.50	26.00	6.90	Ap	0	3	0.20	1.10	1.40	7.20	51.40	15.10	6.60	17.20	Ut4	7.41
34	4427095	5749673	144	7.40	13.70	18.00	8.80	Ap	0	3	0.20	0.80	1.10	5.20	50.70	14.50	6.80	20.90	Ut4	7.42
35	4427179	5749506	145	7.30	12.20	19.00	6.40	Ap	0	3	0.20	0.30	0.90	7.60	50.30	16.50	7.70	16.70	Ut3	7.46
36	4427373	5749355	146	7.10	11.00	24.00	7.50	Ap	0	3	11.10	2.80	2.80	16.80	30.40	9.30	8.50	29.40	Lt2	7.31
37	4427351	5749188	147	6.30	4.10	19.00	8.30	Ap	0	3	0.70	1.30	1.70	7.30	48.40	14.30	7.60	19.40	Ut4	6.51
38	4427197	5749195	148	5.80	6.70	25.00	7.90	Ap	0	3	5.00	2.70	2.90	13.60	43.70	11.70	7.00	18.40	Lu	4.93
39	4427135	5749339	149	7.20	7.70	29.00	6.20	Ap	0	3	15.90	7.80	5.70	14.60	26.00	12.20	9.00	24.70	Ls2	7.43
40	4427010	5749504	150	7.30	11.30	17.00	8.80	Ap	0	3	0.20	0.40	0.70	8.10	46.40	18.60	9.60	16.20	Ut3	7.33
41	4426918	5749618	151	7.20	13.70	21.00	10.20	Ap	0	3	0.10	0.70	1.30	5.70	47.60	18.70	6.20	19.80	Ut4	7.32
42	4426723	5749512	152	7.30	15.80	18.00	6.80	Ap	0	3	1.60	1.00	0.90	10.70	47.40	15.20	6.20	18.60	Ut4	7.44
43	4426881	5749397	153	7.30	13.50	18.00	11.30	Ap	0	3	0.10	0.30	1.00	7.30	60.10	10.40	5.60	15.30	Ut3	7.44
44	4426941	5749277	154	7.20	15.00	28.00	7.70	Ap	0	3	1.10	1.70	2.00	22.00	40.20	12.40	6.50	15.20	Uls	7.16
45	4427011	5749134	155	6.80	11.00	23.00	8.50	Ap	0	3	1.20	1.30	1.50	15.50	40.90	15.10	6.60	19.10	Lu	6.44
46	4427115	5749038	156	6.40	21.80	29.00	8.40	Ap	0	3	9.20	2.50	2.80	15.60	42.60	15.10	6.60	14.80	Uls	6.37
47	4427237	5748957	157	5.60	6.40	20.00	8.20	Ap	0	3	0.50	0.50	2.50	8.50	44.50	17.80	7.50	18.70	Ut4	5.01
48	4426845	5749062	158	7.10	11.40	18.00	8.70	Ap	0	3	13.80	1.10	1.20	40.80	28.70	7.80	4.70	15.70	Slu	7.39
49	4426762	5749297	159	7.20	14.60	22.00	7.10	Ap	0	3	0.10	0.40	0.90	7.40	49.50	15.30	7.50	19.00	Ut4	7.41
50	4426567	5749453	160	7.20	19.10	20.00	8.10	Ap	0	3	1.20	0.70	0.90	10.30	54.60	11.90	8.10	13.50	Ut3	7.09
51	4426632	5749287	161	7.10	12.10	17.00	10.80	Ap	0	3	0.10	0.40	1.00	8.80	48.40	14.90	8.10	18.40	Ut4	7.18
52	4426676	5749108	162	7.30	14.20	18.00	7.50	Ap	0	3	5.00	1.30	2.10	18.20	43.70	12.30	4.60	17.80	Lu	7.41
53	4426481	5749154	163	7.30	18.20	17.00	8.60	Ap	0	3	1.60	1.40	1.60	19.60	36.10	12.70	4.80	23.80	Lu	7.43
